Program,Year,Period,Week Ending,State,Data Item,Value,CV (%)
SURVEY,2023,YEAR,,CONNECTICUT,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","2,596,000",
SURVEY,2023,YEAR,,CONNECTICUT,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","11,000",
SURVEY,2023,YEAR,,CONNECTICUT,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.1,
SURVEY,2023,YEAR,,DELAWARE,"HAY, ALFALFA - ACRES HARVESTED","4,000",
SURVEY,2023,YEAR,,DELAWARE,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","3,055,000",
SURVEY,2023,YEAR,,DELAWARE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","13,000",
SURVEY,2023,YEAR,,DELAWARE,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.2,
SURVEY,2023,YEAR,,IDAHO,"HAY, ALFALFA - ACRES HARVESTED","1,000,000",
SURVEY,2023,YEAR,,IDAHO,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","918,000,000",
SURVEY,2023,YEAR,,IDAHO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","4,500,000",
SURVEY,2023,YEAR,,IDAHO,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",4.5,
SURVEY,2023,YEAR,,ILLINOIS,"HAY, ALFALFA - ACRES HARVESTED","180,000",
SURVEY,2023,YEAR,,ILLINOIS,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","124,488,000",
SURVEY,2023,YEAR,,ILLINOIS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","684,000",
SURVEY,2023,YEAR,,ILLINOIS,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.8,
SURVEY,2023,YEAR,,INDIANA,"HAY, ALFALFA - ACRES HARVESTED","270,000",
SURVEY,2023,YEAR,,INDIANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","141,750,000",
SURVEY,2023,YEAR,,INDIANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","675,000",
SURVEY,2023,YEAR,,INDIANA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.5,
SURVEY,2023,YEAR,,IOWA,"HAY, ALFALFA - ACRES HARVESTED","750,000",
SURVEY,2023,YEAR,,IOWA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","420,000,000",
SURVEY,2023,YEAR,,IOWA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,400,000",
SURVEY,2023,YEAR,,IOWA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.2,
SURVEY,2023,YEAR,,KANSAS,"HAY, ALFALFA - ACRES HARVESTED","735,000",
SURVEY,2023,YEAR,,KANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","538,080,000",
SURVEY,2023,YEAR,,KANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,242,000",
SURVEY,2023,YEAR,,KANSAS,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.05,
SURVEY,2023,YEAR,,KENTUCKY,"HAY, ALFALFA - ACRES HARVESTED","90,000",
SURVEY,2023,YEAR,,KENTUCKY,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","60,750,000",
SURVEY,2023,YEAR,,KENTUCKY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","270,000",
SURVEY,2023,YEAR,,KENTUCKY,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3,
SURVEY,2023,YEAR,,MAINE,"HAY, ALFALFA - ACRES HARVESTED","8,000",
SURVEY,2023,YEAR,,MAINE,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","4,212,000",
SURVEY,2023,YEAR,,MAINE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","18,000",
SURVEY,2023,YEAR,,MAINE,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.3,
SURVEY,2023,YEAR,,MARYLAND,"HAY, ALFALFA - ACRES HARVESTED","45,000",
SURVEY,2023,YEAR,,MARYLAND,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","31,725,000",
SURVEY,2023,YEAR,,MARYLAND,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","135,000",
SURVEY,2023,YEAR,,MARYLAND,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3,
SURVEY,2023,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - ACRES HARVESTED","4,000",
SURVEY,2023,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","1,440,000",
SURVEY,2023,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","6,000",
SURVEY,2023,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",1.5,
SURVEY,2023,YEAR,,MICHIGAN,"HAY, ALFALFA - ACRES HARVESTED","550,000",
SURVEY,2023,YEAR,,MICHIGAN,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","268,125,000",
SURVEY,2023,YEAR,,MICHIGAN,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,375,000",
SURVEY,2023,YEAR,,MICHIGAN,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.5,
SURVEY,2023,YEAR,,MINNESOTA,"HAY, ALFALFA - ACRES HARVESTED","660,000",
SURVEY,2023,YEAR,,MINNESOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","284,427,000",
SURVEY,2023,YEAR,,MINNESOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,683,000",
SURVEY,2023,YEAR,,MINNESOTA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.55,
SURVEY,2023,YEAR,,MISSOURI,"HAY, ALFALFA - ACRES HARVESTED","205,000",
SURVEY,2023,YEAR,,MISSOURI,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","78,925,000",
SURVEY,2023,YEAR,,MISSOURI,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","451,000",
SURVEY,2023,YEAR,,MISSOURI,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.2,
SURVEY,2023,YEAR,,MONTANA,"HAY, ALFALFA - ACRES HARVESTED","1,650,000",
SURVEY,2023,YEAR,,MONTANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","627,165,000",
SURVEY,2023,YEAR,,MONTANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,465,000",
SURVEY,2023,YEAR,,MONTANA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.1,
SURVEY,2023,YEAR,,NEBRASKA,"HAY, ALFALFA - ACRES HARVESTED","850,000",
SURVEY,2023,YEAR,,NEBRASKA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","557,770,000",
SURVEY,2023,YEAR,,NEBRASKA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,890,000",
SURVEY,2023,YEAR,,NEBRASKA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.4,
SURVEY,2023,YEAR,,NEVADA,"HAY, ALFALFA - ACRES HARVESTED","240,000",
SURVEY,2023,YEAR,,NEVADA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","221,184,000",
SURVEY,2023,YEAR,,NEVADA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,152,000",
SURVEY,2023,YEAR,,NEVADA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",4.8,
SURVEY,2023,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - ACRES HARVESTED","5,000",
SURVEY,2023,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","2,350,000",
SURVEY,2023,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","10,000",
SURVEY,2023,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2,
SURVEY,2023,YEAR,,NEW JERSEY,"HAY, ALFALFA - ACRES HARVESTED","12,000",
SURVEY,2023,YEAR,,NEW JERSEY,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","7,285,000",
SURVEY,2023,YEAR,,NEW JERSEY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","31,000",
SURVEY,2023,YEAR,,NEW JERSEY,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.6,
SURVEY,2023,YEAR,,NEW MEXICO,"HAY, ALFALFA - ACRES HARVESTED","155,000",
SURVEY,2023,YEAR,,NEW MEXICO,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","221,712,000",
SURVEY,2023,YEAR,,NEW MEXICO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","744,000",
SURVEY,2023,YEAR,,NEW MEXICO,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",4.8,
SURVEY,2023,YEAR,,NEW YORK,"HAY, ALFALFA - ACRES HARVESTED","200,000",
SURVEY,2023,YEAR,,NEW YORK,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","109,020,000",
SURVEY,2023,YEAR,,NEW YORK,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","460,000",
SURVEY,2023,YEAR,,NEW YORK,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.3,
SURVEY,2023,YEAR,,NORTH CAROLINA,"HAY, ALFALFA - ACRES HARVESTED","7,000",
SURVEY,2023,YEAR,,NORTH CAROLINA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","3,978,000",
SURVEY,2023,YEAR,,NORTH CAROLINA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","18,000",
SURVEY,2023,YEAR,,NORTH CAROLINA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.6,
SURVEY,2023,YEAR,,NORTH DAKOTA,"HAY, ALFALFA - ACRES HARVESTED","1,530,000",
SURVEY,2023,YEAR,,NORTH DAKOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","312,120,000",
SURVEY,2023,YEAR,,NORTH DAKOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,601,000",
SURVEY,2023,YEAR,,NORTH DAKOTA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",1.7,
SURVEY,2023,YEAR,,OHIO,"HAY, ALFALFA - ACRES HARVESTED","290,000",
SURVEY,2023,YEAR,,OHIO,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","211,497,000",
SURVEY,2023,YEAR,,OHIO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,131,000",
SURVEY,2023,YEAR,,OHIO,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.9,
SURVEY,2023,YEAR,,OKLAHOMA,"HAY, ALFALFA - ACRES HARVESTED","175,000",
SURVEY,2023,YEAR,,OKLAHOMA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","152,992,000",
SURVEY,2023,YEAR,,OKLAHOMA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","683,000",
SURVEY,2023,YEAR,,OKLAHOMA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.9,
SURVEY,2023,YEAR,,OREGON,"HAY, ALFALFA - ACRES HARVESTED","320,000",
SURVEY,2023,YEAR,,OREGON,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","403,072,000",
SURVEY,2023,YEAR,,OREGON,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,504,000",
SURVEY,2023,YEAR,,OREGON,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",4.7,
SURVEY,2023,YEAR,,OTHER STATES,"HAY, ALFALFA - ACRES HARVESTED",0,
SURVEY,2023,YEAR,,OTHER STATES,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",0,
SURVEY,2023,YEAR,,OTHER STATES,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",0,
SURVEY,2023,YEAR,,PENNSYLVANIA,"HAY, ALFALFA - ACRES HARVESTED","270,000",
SURVEY,2023,YEAR,,PENNSYLVANIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","200,070,000",
SURVEY,2023,YEAR,,PENNSYLVANIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","810,000",
SURVEY,2023,YEAR,,PENNSYLVANIA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3,
SURVEY,2023,YEAR,,RHODE ISLAND,"HAY, ALFALFA - ACRES HARVESTED","1,000",
SURVEY,2023,YEAR,,RHODE ISLAND,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","470,000",
SURVEY,2023,YEAR,,RHODE ISLAND,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,000",
SURVEY,2023,YEAR,,RHODE ISLAND,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2,
SURVEY,2023,YEAR,,SOUTH DAKOTA,"HAY, ALFALFA - ACRES HARVESTED","1,690,000",
SURVEY,2023,YEAR,,SOUTH DAKOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","643,464,000",
SURVEY,2023,YEAR,,SOUTH DAKOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,972,000",
SURVEY,2023,YEAR,,SOUTH DAKOTA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.35,
SURVEY,2023,YEAR,,TENNESSEE,"HAY, ALFALFA - ACRES HARVESTED","16,000",
SURVEY,2023,YEAR,,TENNESSEE,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","11,350,000",
SURVEY,2023,YEAR,,TENNESSEE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","50,000",
SURVEY,2023,YEAR,,TENNESSEE,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.1,
SURVEY,2023,YEAR,,TEXAS,"HAY, ALFALFA - ACRES HARVESTED","85,000",
SURVEY,2023,YEAR,,TEXAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","125,892,000",
SURVEY,2023,YEAR,,TEXAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","468,000",
SURVEY,2023,YEAR,,TEXAS,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",5.5,
SURVEY,2023,YEAR,,UTAH,"HAY, ALFALFA - ACRES HARVESTED","490,000",
SURVEY,2023,YEAR,,UTAH,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","417,480,000",
SURVEY,2023,YEAR,,UTAH,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,960,000",
SURVEY,2023,YEAR,,UTAH,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",4,
SURVEY,2023,YEAR,,VERMONT,"HAY, ALFALFA - ACRES HARVESTED","15,000",
SURVEY,2023,YEAR,,VERMONT,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","10,665,000",
SURVEY,2023,YEAR,,VERMONT,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","45,000",
SURVEY,2023,YEAR,,VERMONT,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3,
SURVEY,2023,YEAR,,VIRGINIA,"HAY, ALFALFA - ACRES HARVESTED","35,000",
SURVEY,2023,YEAR,,VIRGINIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","24,192,000",
SURVEY,2023,YEAR,,VIRGINIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","112,000",
SURVEY,2023,YEAR,,VIRGINIA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.2,
SURVEY,2023,YEAR,,WASHINGTON,"HAY, ALFALFA - ACRES HARVESTED","410,000",
SURVEY,2023,YEAR,,WASHINGTON,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","522,340,000",
SURVEY,2023,YEAR,,WASHINGTON,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,009,000",
SURVEY,2023,YEAR,,WASHINGTON,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",4.9,
SURVEY,2023,YEAR,,WEST VIRGINIA,"HAY, ALFALFA - ACRES HARVESTED","10,000",
SURVEY,2023,YEAR,,WEST VIRGINIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","6,324,000",
SURVEY,2023,YEAR,,WEST VIRGINIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","31,000",
SURVEY,2023,YEAR,,WEST VIRGINIA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.1,
SURVEY,2023,YEAR,,WISCONSIN,"HAY, ALFALFA - ACRES HARVESTED","640,000",
SURVEY,2023,YEAR,,WISCONSIN,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","293,760,000",
SURVEY,2023,YEAR,,WISCONSIN,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,728,000",
SURVEY,2023,YEAR,,WISCONSIN,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.7,
SURVEY,2023,YEAR,,WYOMING,"HAY, ALFALFA - ACRES HARVESTED","590,000",
SURVEY,2023,YEAR,,WYOMING,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","348,690,000",
SURVEY,2023,YEAR,,WYOMING,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,770,000",
SURVEY,2023,YEAR,,WYOMING,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3,
SURVEY,2022,YEAR,,ALASKA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $",0,
SURVEY,2022,YEAR,,ARIZONA,"HAY, ALFALFA - ACRES HARVESTED","280,000",
SURVEY,2022,YEAR,,ARIZONA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","743,904,000",
SURVEY,2022,YEAR,,ARIZONA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,296,000",
SURVEY,2022,YEAR,,ARIZONA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",8.2,
SURVEY,2022,YEAR,,ARKANSAS,"HAY, ALFALFA - ACRES HARVESTED","3,000",
SURVEY,2022,YEAR,,ARKANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","1,736,000",
SURVEY,2022,YEAR,,ARKANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","8,000",
SURVEY,2022,YEAR,,ARKANSAS,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.8,
SURVEY,2022,YEAR,,CALIFORNIA,"HAY, ALFALFA - ACRES HARVESTED","480,000",
SURVEY,2022,YEAR,,CALIFORNIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","1,195,776,000",
SURVEY,2022,YEAR,,CALIFORNIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,456,000",
SURVEY,2022,YEAR,,CALIFORNIA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",7.2,
SURVEY,2022,YEAR,,COLORADO,"HAY, ALFALFA - ACRES HARVESTED","610,000",
SURVEY,2022,YEAR,,COLORADO,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","431,636,000",
SURVEY,2022,YEAR,,COLORADO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,769,000",
SURVEY,2022,YEAR,,COLORADO,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.9,
SURVEY,2022,YEAR,,CONNECTICUT,"HAY, ALFALFA - ACRES HARVESTED","7,000",
SURVEY,2022,YEAR,,CONNECTICUT,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","3,450,000",
SURVEY,2022,YEAR,,CONNECTICUT,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","15,000",
SURVEY,2022,YEAR,,CONNECTICUT,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.1,
SURVEY,2022,YEAR,,DELAWARE,"HAY, ALFALFA - ACRES HARVESTED","2,000",
SURVEY,2022,YEAR,,DELAWARE,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","1,206,000",
SURVEY,2022,YEAR,,DELAWARE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","6,000",
SURVEY,2022,YEAR,,DELAWARE,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.85,
SURVEY,2022,YEAR,,IDAHO,"HAY, ALFALFA - ACRES HARVESTED","1,060,000",
SURVEY,2022,YEAR,,IDAHO,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","1,239,776,000",
SURVEY,2022,YEAR,,IDAHO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","4,558,000",
SURVEY,2022,YEAR,,IDAHO,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",4.3,
SURVEY,2022,YEAR,,ILLINOIS,"HAY, ALFALFA - ACRES HARVESTED","240,000",
SURVEY,2022,YEAR,,ILLINOIS,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","157,680,000",
SURVEY,2022,YEAR,,ILLINOIS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","876,000",
SURVEY,2022,YEAR,,ILLINOIS,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.65,
SURVEY,2022,YEAR,,INDIANA,"HAY, ALFALFA - ACRES HARVESTED","260,000",
SURVEY,2022,YEAR,,INDIANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","186,550,000",
SURVEY,2022,YEAR,,INDIANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","910,000",
SURVEY,2022,YEAR,,INDIANA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.5,
SURVEY,2022,YEAR,,IOWA,"HAY, ALFALFA - ACRES HARVESTED","730,000",
SURVEY,2022,YEAR,,IOWA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","475,376,000",
SURVEY,2022,YEAR,,IOWA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,701,000",
SURVEY,2022,YEAR,,IOWA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.7,
SURVEY,2022,YEAR,,KANSAS,"HAY, ALFALFA - ACRES HARVESTED","660,000",
SURVEY,2022,YEAR,,KANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","501,270,000",
SURVEY,2022,YEAR,,KANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,046,000",
SURVEY,2022,YEAR,,KANSAS,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.1,
SURVEY,2022,YEAR,,KENTUCKY,"HAY, ALFALFA - ACRES HARVESTED","110,000",
SURVEY,2022,YEAR,,KENTUCKY,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","87,120,000",
SURVEY,2022,YEAR,,KENTUCKY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","396,000",
SURVEY,2022,YEAR,,KENTUCKY,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.6,
SURVEY,2022,YEAR,,MAINE,"HAY, ALFALFA - ACRES HARVESTED","9,000",
SURVEY,2022,YEAR,,MAINE,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","5,103,000",
SURVEY,2022,YEAR,,MAINE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","21,000",
SURVEY,2022,YEAR,,MAINE,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.3,
SURVEY,2022,YEAR,,MARYLAND,"HAY, ALFALFA - ACRES HARVESTED","40,000",
SURVEY,2022,YEAR,,MARYLAND,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","32,964,000",
SURVEY,2022,YEAR,,MARYLAND,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","164,000",
SURVEY,2022,YEAR,,MARYLAND,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",4.1,
SURVEY,2022,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - ACRES HARVESTED","5,000",
SURVEY,2022,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","2,070,000",
SURVEY,2022,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","9,000",
SURVEY,2022,YEAR,,MASSACHUSETTS,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",1.8,
SURVEY,2022,YEAR,,MICHIGAN,"HAY, ALFALFA - ACRES HARVESTED","560,000",
SURVEY,2022,YEAR,,MICHIGAN,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","273,728,000",
SURVEY,2022,YEAR,,MICHIGAN,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,456,000",
SURVEY,2022,YEAR,,MICHIGAN,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.6,
SURVEY,2022,YEAR,,MINNESOTA,"HAY, ALFALFA - ACRES HARVESTED","640,000",
SURVEY,2022,YEAR,,MINNESOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","353,152,000",
SURVEY,2022,YEAR,,MINNESOTA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,984,000",
SURVEY,2022,YEAR,,MINNESOTA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.1,
SURVEY,2022,YEAR,,MISSOURI,"HAY, ALFALFA - ACRES HARVESTED","160,000",
SURVEY,2022,YEAR,,MISSOURI,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","69,888,000",
SURVEY,2022,YEAR,,MISSOURI,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","416,000",
SURVEY,2022,YEAR,,MISSOURI,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.6,
SURVEY,2022,YEAR,,MONTANA,"HAY, ALFALFA - ACRES HARVESTED","1,430,000",
SURVEY,2022,YEAR,,MONTANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","709,544,000",
SURVEY,2022,YEAR,,MONTANA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,932,000",
SURVEY,2022,YEAR,,MONTANA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2.05,
SURVEY,2022,YEAR,,NEBRASKA,"HAY, ALFALFA - ACRES HARVESTED","810,000",
SURVEY,2022,YEAR,,NEBRASKA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","519,777,000",
SURVEY,2022,YEAR,,NEBRASKA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,511,000",
SURVEY,2022,YEAR,,NEBRASKA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.1,
SURVEY,2022,YEAR,,NEVADA,"HAY, ALFALFA - ACRES HARVESTED","285,000",
SURVEY,2022,YEAR,,NEVADA,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","392,502,000",
SURVEY,2022,YEAR,,NEVADA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,254,000",
SURVEY,2022,YEAR,,NEVADA,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",4.4,
SURVEY,2022,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - ACRES HARVESTED","5,000",
SURVEY,2022,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - PRODUCTION, MEASURED IN $","2,400,000",
SURVEY,2022,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","10,000",
SURVEY,2022,YEAR,,NEW HAMPSHIRE,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",2,
